Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Endof25Currency should be abolished.,RadMod,ConPro,-4,-1,TheSec,TraPri,NatCos,AutoDem
Beginof33pagesizeDiplomacy is a better foreign policy asset than a strong military.,RadMod,3,SocCap,-1,TheSec,TraPri,5,AutoDem
The public should directly vote on important policy decisions c. rather than relying on representatives.,-4,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,5
Governments should not favour or discriminate against any particular religion.,RadMod,3,SocCap,-3,10.5,TraPri,NatCos,3
Justice should be primarily rehabilitative c. rather than punitive.,RadMod,3,SocCap,-3,TheSec,TraPri,NatCos,AutoDem
Politicians generally serve my interests.,7.5,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Economic inequality is a greater issue than social inequality.,RadMod,-3,-4,LibAuth,TheSec,TraPri,NatCos,AutoDem
Welfare programs that sometimes benefit those too lazy to work should be reduced or eliminated.,RadMod,-1,4,LibAuth,TheSec,TraPri,NatCos,AutoDem
Violent revolution is sometimes justified against a popular and democratically elected government,-7.5,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,-5
My country should open its borders to countries with similar cultures c. governments c. and judicial systems.,RadMod,3,SocCap,-3,TheSec,TraPri,5.5,AutoDem
There should be no minimum wage as employers know best what a worker's labour is worth,RadMod,-1,4.5,LibAuth,TheSec,TraPri,NatCos,AutoDem
Foreign-born migrants should not have the right to vote.,RadMod,-3,SocCap,3,TheSec,TraPri,-5.5,-5.5
My political philosophy is derived from my faith.,RadMod,-1,SocCap,LibAuth,-11.5,TraPri,NatCos,AutoDem
Religious attire should be required by law.,RadMod,-1,SocCap,1,-6.5,TraPri,NatCos,AutoDem
Free access to the internet should be provided by the state as a public utility.,RadMod,ConPro,-4,LibAuth,TheSec,-2,NatCos,AutoDem
.The state should subsidise private companies that invest heavily in scientific or technological research.,RadMod,ConPro,4.25,LibAuth,TheSec,-5.5,NatCos,AutoDem
Publicly owned research institutions c. such as space programs c. should receive more public funding.,RadMod,-4.25,-4.25,LibAuth,TheSec,-5.25,NatCos,AutoDem
My nation should not be dependent on other nations for resources.,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,-5.25,AutoDem
The police should be granted greater power to protect us from extremists.,4.25,-1,SocCap,3,TheSec,TraPri,NatCos,-3
It is beneficial for human labor to be made redundant through technological automation.,RadMod,ConPro,SocCap,LibAuth,TheSec,-5.25,NatCos,AutoDem
Certain ethnicities c. genders c. or sexual orientations c. should sometimes be given preferential treatment.,RadMod,-3.1,SocCap,3.1,-6.4,TraPri,NatCos,-3.1
Prostitution should be illegal.,RadMod,-3.25,SocCap,3.2,TheSec,TraPri,NatCos,AutoDem
Abortion should be recommended during pregnancies in which genetic illnesses are identified.,RadMod,ConPro,SocCap,1.01,TheSec,-5.30,NatCos,AutoDem
Torture c. even during warfare c. is morally wrong.,RadMod,3.25,SocCap,-3.20,TheSec,TraPri,2.01,AutoDem
Voting is pointless.,-7.45,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
Question,RadMod,ConPro,SocCap,LibAuth,TheSec,TraPri,NatCos,AutoDem
